Find Object,You can always find significant objects when investigating a scene.
Harmonic Resonance,You can vibrate fast enough to pass through objects or create a deflective force field.
Immune to Illusions,You quickly see through deceptive visuals or mind tricks; you are unaffected by false appearances.
Repulsor Field,You can create a force field that deflects as much energy as it receives.
Brawler,"You are not damaged by physical strikes, falls, or impacts from hand-to-hand combat."
Immune to Super Abilities,You are immune to the direct application of powers and highly resistant to secondary effects.
Knock Back,You can release a blast of kinetic energy that throws everything back from you like a super strong shove.
Line Transit,"You can merge with ropes, wires, power lines, and pipes to move at 600 mph (970 kph)."
Linguistics,"You can speak, read, and understand any language instantly, facilitating communication with any being."
Parabolic Hearing,"You can pinpoint very quiet sounds from 1 mile (1.61km) away, regardless of background noise."
Pixie Dust,"You create a magical dust with various temporary magical effects, such as bestowing flight or causing deep sleep."
Power Stomp,"You create shockwaves through a powerful kick to the ground, damaging the surrounding area."
Scan Powers,You can sense the exact abilities of other super-powered or supernatural beings within 500 feet (152m).
Shadow Cloak,You create a shroud of darkness and can merge with shadows to become completely invisible.
Shadow Molding,"You can sculpt shadows into solid forms, quickly creating objects or barriers as tough as concrete."
Shadow Trap,"You can snare people and objects in shadows, immobilizing them as if the shadows were thick tar."
Shrapnel,You can fire high-velocity fragments from your hands with the force and destruction of a shotgun.
Dimensional Anchor,"Once you set your feet and brace yourself in any position, you can't be teleported, lifted, or moved."
Sticky Globs,"You can hurl an adhesive substance, trapping or hindering movement; you have a seemingly endless supply."
Drone Senses,"Your sensory perspective is mobile, moving up to 2000 feet (610m) from your body like a flying drone."
Electromagnetic Sense,"You can detect and listen to radio waves, intercept wifi signals, and scramble local networks."
Targeting,"You have a Head-up Display that locks onto and tracks targets, identifies threats, and provides tactical information."
Transfixing Gaze,"You can control others through eye contact, influencing their actions or thoughts to a limited degree."
Underwater Speed,You can power through the water at 200 knots (370 km/h; 230 mph) and breathe water.
Vocalization,You can imitate any sound or vibration with perfect accuracy and can do so from 500 feet (152 m) away.
Windows,"You can create transparent portals or openings, allowing vision or passage through barriers."
Without Sustenance,"You can live comfortably without needing food, water, or air, sustained purely on internal energy."
